,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
103,20.0,Рыбинск,Ярославская область,200.8,89.3,111.5
104,21.0,Балаково,Саратовская область,199.6,89.5,110.1
105,22.0,Северодвинск,Архангельская область,192.3,88.8,103.5
106,23.0,Армавир,Краснодарский край,188.9,86.7,102.2
107,24.0,Подольск,Московская область,188.0,84.6,103.4
108,25.0,Королев,Московская область,183.5,82.9,100.6
109,26.0,Южно-Сахалинск,Сахалинская область,181.7,86.6,95.1
110,27.0,Петропавловск-Камчатский,Камчатский край,179.5,87.4,92.1
111,28.0,Сызрань,Самарская область,178.8,80.5,98.3
112,29.0,Норильск,Красноярский край,175.3,87.9,87.4
113,30.0,Златоуст,Челябинская область,175.0,79.1,95.9
114,31.0,Каменск-Уральский,Свердловская область,174.7,78.4,96.3
115,32.0,Мытищи,Московская область,173.3,77.7,95.6
116,33.0,Люберцы,Московская область,172.0,77.9,94.1
117,34.0,Волгодонск,Ростовская область,170.6,78.5,92.1
118,35.0,Новочеркасск,Ростовская область,169.0,80.4,88.6
119,36.0,Абакан,Республика Хакасия,165.2,75.7,89.5
120,37.0,Находка,Приморский край,159.7,75.6,84.1
121,38.0,Уссурийск,Приморский край,158.0,76.7,81.3
122,39.0,Березники,Пермский край,156.5,69.6,86.9
123,40.0,Салават,Республика Башкортостан,156.1,73.2,82.9
124,41.0,Электросталь,Московская область,155.3,70.5,84.8
125,42.0,Миасс,Челябинская область,151.8,68.4,83.4
126,43.0,Рубцовск,Алтайский край,147.0,69.4,77.6
127,44.0,Альметьевск,Республика Татарстан,146.3,68.9,77.4
128,45.0,Ковров,Владимирская область,145.5,66.1,79.4
129,46.0,Коломна,Московская область,144.6,66.3,78.3
130,47.0,Майкоп,Республика Адыгея,144.2,64.3,79.9
131,48.0,Пятигорск,Ставропольский край,142.4,64.0,78.4
132,49.0,Одинцово,Московская область,139.0,64.1,74.9
133,50.0,Копейск,Челябинская область,137.6,65.7,71.9
134,51.0,Черкесск,Карачаево-Черкесская Республика,121.4,53.8,67.6
135,52.0,Хасавюрт,Республика Дагестан,133.9,62.9,71.0
136,53.0,Железнодорожный,Московская область,131.7,59.3,72.4
137,54.0,Новомосковск,Тульская область,131.2,58.8,72.4
138,55.0,Кисловодск,Ставропольский край,128.5,58.5,70.0
139,56.0,Серпухов,Московская область,126.5,57.6,68.9
140,57.0,Первоуральск,Свердловская область,124.5,55.7,68.8
141,58.0,Новочебоксарск,Чувашская Республика,124.1,57.3,66.8
142,59.0,Нефтеюганск,Ханты-Мансийский автономный округ-Югра,123.3,60.8,62.5
143,60.0,Димитровград,Ульяновская область,122.5,56.8,65.7
144,61.0,Нефтекамск,Республика Башкортостан,121.8,56.7,65.1
145,62.0,Орехово-Зуево,Московская область,120.6,52.8,67.8
146,63.0,Дербент,Республика Дагестан,120.0,57.8,62.2
147,64.0,Камышин,Волгоградская область,119.9,55.3,64.6
148,65.0,Невинномысск,Ставропольский край,118.4,54.0,64.4
149,66.0,Красногорск,Московская область,116.7,52.6,64.1
150,67.0,Муром,Владимирская область,116.1,51.6,64.5
151,68.0,Батайск,Ростовская область,111.8,52.9,58.9
152,69.0,Новошахтинск,Ростовская область,111.1,50.8,60.3
153,70.0,Сергиев Посад,Московская область,110.9,50.5,60.4
